% TITLE: Pre-processed output of Malcious Mining for Classification 
% Collected using the Malicous Crawler 

@RELATION MaliciousMining 

@ATTRIBUTE id NUMERIC 
@ATTRIBUTE url_length NUMERIC 
@ATTRIBUTE https_used {0,1} 
@ATTRIBUTE document_length NUMERIC 
@ATTRIBUTE re_direction {0,1} 
@ATTRIBUTE cloaking {0,1} 
@ATTRIBUTE javascript_length NUMERIC 
@ATTRIBUTE no_eval NUMERIC 
@ATTRIBUTE no_document_writes NUMERIC 
@ATTRIBUTE maliciousness_found {YES,NO} 

@DATA 
2114,49,0,44441,0,0,9196,0,1,NO
2115,48,0,44441,0,0,9196,0,1,NO
2116,50,0,44442,0,0,9197,0,1,NO
2117,82,0,27078,0,0,12251,0,3,NO
2118,111,0,27090,0,0,12251,0,3,NO
2119,106,0,27090,0,0,12251,0,3,NO
2120,32,0,70257,0,0,13865,0,1,NO
2121,57,0,52170,0,0,5842,0,3,NO
2122,33,0,71950,0,0,13751,0,1,NO
2123,29,0,74170,0,0,15896,0,1,NO
2124,39,0,12983,0,0,683,0,0,NO
2125,95,0,73538,0,0,13806,0,1,NO
2126,67,0,72854,0,0,13774,0,1,NO
2127,50,0,23796,0,0,3917,0,2,NO
2128,101,0,60509,0,0,2622,0,0,NO
2129,52,0,27199,0,0,4813,0,1,NO
2130,52,0,72881,0,0,13770,0,1,NO
2131,74,0,72791,0,0,13792,0,1,NO
2132,62,0,44441,0,0,9196,0,1,NO
2133,59,0,44441,0,0,9196,0,1,NO
2134,58,0,44441,0,0,9196,0,1,NO
2135,62,0,44441,0,0,9196,0,1,NO
2136,59,0,44442,0,0,9197,0,1,NO
2137,64,0,44442,0,0,9197,0,1,NO
2138,63,0,44442,0,0,9197,0,1,NO
2139,59,0,44441,0,0,9196,0,1,NO
2140,59,0,44441,0,0,9196,0,1,NO
2141,58,0,44442,0,0,9197,0,1,NO
2142,57,0,44441,0,0,9196,0,1,NO
2143,59,0,44441,0,0,9196,0,1,NO
2144,61,0,44442,0,0,9197,0,1,NO
2145,57,0,44441,0,0,9196,0,1,NO
2146,61,0,44441,0,0,9196,0,1,NO
2147,67,0,44441,0,0,9196,0,1,NO
2148,59,0,44441,0,0,9196,0,1,NO
2149,61,0,44442,0,0,9197,0,1,NO
2150,58,0,44442,0,0,9197,0,1,NO
2151,63,0,44441,0,0,9196,0,1,NO
2152,68,0,44441,0,0,9196,0,1,NO
2153,61,0,44442,0,0,9197,0,1,NO
2154,58,0,44441,0,0,9196,0,1,NO
2155,60,0,44440,0,0,9195,0,1,NO
2156,62,0,44441,0,0,9196,0,1,NO
2157,63,0,44441,0,0,9196,0,1,NO
2158,59,0,44441,0,0,9196,0,1,NO
2159,65,0,44441,0,0,9196,0,1,NO
2160,58,0,44441,0,0,9196,0,1,NO
2161,64,0,44441,0,0,9196,0,1,NO
2162,57,0,44441,0,0,9196,0,1,NO
2163,60,0,44441,0,0,9196,0,1,NO
2164,44,0,268836,0,0,145758,0,3,NO
2165,43,0,267428,0,0,148796,0,3,NO
2166,44,0,270221,0,0,149242,0,3,NO
2167,46,0,266623,0,0,149204,0,3,NO
2168,48,0,271843,0,0,149253,0,3,NO
2169,45,0,271064,0,0,149342,0,3,NO
2170,45,0,270068,0,0,149324,0,3,NO
2171,44,0,268594,0,0,149105,0,3,NO
2172,42,0,270269,0,0,149109,0,3,NO
2173,44,0,271113,0,0,149163,0,3,NO
2174,45,0,269363,0,0,149244,0,3,NO
2175,47,0,271655,0,0,149393,0,3,NO
2176,49,0,269855,0,0,149442,0,3,NO
2177,50,0,256157,0,0,148167,0,3,NO
2178,49,0,271766,0,0,149222,0,3,NO
2179,47,0,272562,0,0,149284,0,3,NO
2180,43,0,270139,0,0,149218,0,3,NO
2181,42,0,270887,0,0,149174,0,3,NO
2182,46,0,271909,0,0,149180,0,3,NO
2183,42,0,263548,0,0,148608,0,3,NO
2184,49,0,211736,0,0,15181,0,1,NO
2185,47,0,210087,0,0,15167,0,1,NO
2186,49,0,187719,0,0,15175,0,1,NO
2187,49,0,253220,0,0,15184,0,1,NO
2188,48,0,212512,0,0,15169,0,1,NO
2189,48,0,199918,0,0,15179,0,1,NO
2190,49,0,222747,0,0,15174,0,1,NO
2191,48,0,237775,0,0,15179,0,1,NO
2192,53,0,251661,0,0,15202,0,1,NO
2193,52,0,235417,0,0,15195,0,1,NO
2194,51,0,201922,0,0,15193,0,1,NO
